Title,Category Name,Experience,Sub Category Name,Currency,Budget,Location,Freelancer Preferred From,Type,Date Posted,Description,Duration,Client Registration Date,Client City,Client Country,Client Currency,Client Job Title
German & Dutch speaking translators needed ,Writing & Translation,Expert ($$$),Business Writing,GBP,110.0,remote,ALL,fixed_price,2023-01-23 14:10:00,"Position: German and Dutch Translator

Company: GoeWellness.com

Job Description:

We are looking for two highly skilled German and Dutch translators to join our team at GoeWellness.com. The successful candidate will be responsible for translating a wide range of content from English to German and Dutch, including but not limited to product descriptions, website content, marketing materials and customer support communications.

Key Responsibilities:

Translate English content into German and Dutch accurately and efficiently
Ensure consistency of terminology and style across all translations
Review and edit translations done by other team members
Collaborate with internal teams to ensure translations meet the needs of the target audience
Stay up-to-date with industry-specific terminology and trends
Meet tight deadlines while maintaining a high level of quality
Qualifications:

Native speaker of German and Dutch
Fluent in English
Proven translation experience in a professional setting
Strong attention to detail and ability to proofread own work
Strong organizational and project management skills
Ability to work independently and as part of a team
Knowledge of wellness and health industry is a plus
We are looking for an enthusiastic and highly motivated individual who is passionate about language and translation. If you meet the above requirements and are interested in joining our team, please submit your application today.

Job Type: Freelance / remote 

Location: Remote

Salary: Negotiable",,2022-03-31,Windsor,United Kingdom,GBP,Social Media Manager
Looking for a separate website,Technology & Programming,Entry ($),Website Development,GBP,100.0,remote,ALL,fixed_price,2023-01-23 13:33:46,"http://www.brooksideepisodes.com/The%20Bill/

I’m looking for a separate website from which I can store these and stream them from.",,2014-08-19,City of London,United Kingdom,EUR,Director
 Creating Compelling Content for our Online Platform,Writing & Translation,Entry ($),Content Writing,GBP,10.0,remote,ALL,hourly,2023-01-23 13:36:31,"The main goal of this project is to create high-quality, engaging and informative content for our website and various social media platforms. The Content Writer will be responsible for researching, writing and editing a variety of content types, including blog posts, articles, product descriptions, social media posts and more.

Responsibilities:

    Research and write high-quality, engaging and informative content for our website and social media platforms
    Collaborate with the marketing team to develop content that aligns with the company's overall marketing strategy
    Edit and proofread content to ensure accuracy, consistency, and proper grammar
    Optimize content for SEO and ensure it is easily shareable across social media platforms
    Keep up to date with industry trends and news to inform content creation
    Collaborate with designers to enhance the visual appeal of the content

Qualifications:

    Proven experience as a content writer or similar role
    Strong writing and editing skills
    Knowledge of SEO and social media best practices
    Experience with content management systems
    Strong research and analytical skills
    Excellent attention to detail
    Strong communication and teamwork skills

This is a full-time position, and the work schedule is flexible. Remote work is possible, but regular communication and collaboration with the team are required.

We are looking for a highly motivated, creative and results-driven Content Writer to join our team. If you have a passion for writing and are excited about the opportunity to create high-quality content that resonates with our target audience, we would love to hear from you!",,2023-01-16,Accra,Ghana,GBP,SYSTEMS ADMINISTRATION
Partially Finished Website,Technology & Programming,Expert ($$$),Website Development,GBP,275.0,remote_country,GB,fixed_price,2023-01-23 13:16:17,"I need a Word Press web designer to help finish a website that has been started. The the pages have been created / forms built but I need help iterating the page designs, layout and content. 

The site has been built using the elementor plugin so experience in this would be useful

All imagery will be created and supplied by my graphic designer. 

Only bid if you can start within the next week",1 - 2 weeks,2022-12-06,Manchester,United Kingdom,GBP,
Finish Off Website,Technology & Programming,Expert ($$$),Website Development,GBP,250.0,remote,ALL,fixed_price,2023-01-23 13:16:17,"I need a Word Press web designer to help finish a website that has been started. The the pages have been created / forms built but I need help iterating the page designs, layout and content. 

The site has been built using the elementor plugin so experience in this would be useful

All imagery will be created and supplied by my graphic designer. 

",,2022-12-06,Manchester,United Kingdom,GBP,
Website Finish,Technology & Programming,Expert ($$$),Website Development,GBP,250.0,remote,ALL,fixed_price,2023-01-23 13:16:17,"I need a Word Press web designer to help finish a website that has been started. The majority of the pages have been created but I need help iterating the page designs, layout and content. 

All imagery will be created and supplied by my graphic designer. 

",,2022-12-06,Manchester,United Kingdom,GBP,
Bulgarian translation required ,Writing & Translation,Entry ($),Translation,EUR,68.0,remote,ALL,fixed_price,2023-01-23 13:14:19,"A translator from English to Bulgaria is required. We are looking for a native Bulgarian translation for a long-term assignment from English to Bulgaria. Only native bidders please. There will be no agencies or firms, and no Google or machine translation will be permitted.",,2023-01-23,Helsinki,Finland,EUR,
Redesign of shopify website,Design,Expert ($$$),Web Design,GBP,200.0,remote,ALL,fixed_price,2023-01-23 13:13:01,"We are looking for someone to reshuffle/design our shopify  website.
I think our site looks a little clumpy atm and needs refining. also adding adding a couple of more bespoke options.
1. a subscription flow similar to this https://www.crafthousecoffee.co.uk/pages/coffee-subscription
2. a wholesale login area which cannot be seen without a login and our whole sale clients and see items available for wholesale delivery?

Let me know your thoughts and look forward to hearing back from you",,2023-01-23,Birmingham,United Kingdom,GBP,
C# Socket.SendFile Multiple Files Over 2GB.  Visual Studio 2022,Technology & Programming,Entry ($),Programming & Coding,GBP,70.0,remote,ALL,fixed_price,2023-01-23 13:08:58,"Hi Everyone,

I have a Console Application and I need to send a large file through Socket.SendFIle with PreBuffer and PostBuffer.  My console application works on files under 24kb.  Larger files are not being completed.  For instance, for a large file, only the first 32kb of data is being saved.

So, what I am looking for is Console Apps (one Server and one Client) that can use Socket.SendFile to send a file over 2GB with PreBuffer and PostBuffer, and on the Console Server App to receive this file with PreBuffer and PostBuffer.  I want the PreBuffer and PostBuffer printed on screen, and the File data to be saved to a local file.

I don't need the actual Console Apps, just the code snippet for the Server app and Client app.  But you can send both Console Apps if you feel like it.",,2017-12-05,Liverpool,United Kingdom,GBP,
BUSINESS ANAYLIST TO LIAISE WITH WEB DEVELOPERS,Technology & Programming,Expert ($$$),Website Development,GBP,300.0,remote,ALL,fixed_price,2023-01-23 13:08:58,"*Requirement Engineer / Tech Business Analyst wanted*

We require the above to liaise with our Web Developer to elicit our needs, changes and desires and develop them into an agreed upon set of detailed requirements that can serve as a basis for developments.

We currently have a website in the making for a relatively new business venture! The website is in process but we need a little extra help. When noticing changes that we would like on the website, we are finding it difficult to revert back to the web developer and explain to them what we want changing, why and how. The perfect candidate must be someone who is confident to advise us further regarding the website and features of it and to be able to explain our changes that we would like to the website in more professional terms so that the web developer can easily understand what changes we require.

The ideal person must be confident in what they do. Advising us further, listening to our thoughts and ideas and pushing these to our Web developers.

They must have the ability to screen print key areas of the website, explain matters relating to the website using professional terms and liaise confidently with our Web developers pushing our thoughts, ideas and changes to them and keeping track of them.

Please message us for further information. We also have the links available for the front end/ back end of the website. We can also provide the document including modules of the sight to give a better understanding.

The business is associated with Tool hire, repair and sales.

It is more of an ongoing project rather than a one off, so prices will be discussed upon hiring our chosen candidate. 

We require an individual with loads of experience that is able to design, implement changes/ideas and test the site.",Ongoing,2019-03-18,Leeds,United Kingdom,GBP,
